n_batch:10665,phase:    train,avg_loss:7.726e-02, avg_error_rate:2.989e+01
n_batch:10670,phase:    train,avg_loss:7.726e-02, avg_error_rate:2.989e+01
n_batch:10675,phase:    train,avg_loss:7.726e-02, avg_error_rate:2.989e+01
n_batch:10680,phase:    train,avg_loss:7.726e-02, avg_error_rate:2.989e+01
n_batch:10685,phase:    train,avg_loss:7.726e-02, avg_error_rate:2.989e+01
n_batch:10690,phase:    train,avg_loss:7.726e-02, avg_error_rate:2.989e+01
n_batch:10695,phase:    train,avg_loss:7.726e-02, avg_error_rate:2.989e+01
n_batch:10700,phase:    train,avg_loss:7.726e-02, avg_error_rate:2.989e+01
n_batch:10705,phase:    train,avg_loss:7.726e-02, avg_error_rate:2.989e+01
n_batch:10710,phase:    train,avg_loss:7.727e-02, avg_error_rate:2.989e+01
n_batch:10715,phase:    train,avg_loss:7.728e-02, avg_error_rate:2.990e+01
n_batch:10720,phase:    train,avg_loss:7.728e-02, avg_error_rate:2.990e+01
n_batch:10725,phase:    train,avg_loss:7.729e-02, avg_error_rate:2.990e+01
n_batch:10730,phase:    train,avg_loss:7.729e-02, avg_error_rate:2.990e+01
n_batch:10735,phase:    train,avg_loss:7.728e-02, avg_error_rate:2.990e+01
n_batch:10740,phase:    train,avg_loss:7.728e-02, avg_error_rate:2.990e+01
n_batch:10745,phase:    train,avg_loss:7.728e-02, avg_error_rate:2.990e+01
n_batch:10750,phase:    train,avg_loss:7.729e-02, avg_error_rate:2.990e+01
n_batch:10755,phase:    train,avg_loss:7.729e-02, avg_error_rate:2.990e+01
n_batch:10760,phase:    train,avg_loss:7.729e-02, avg_error_rate:2.990e+01
n_batch:10765,phase:    train,avg_loss:7.729e-02, avg_error_rate:2.990e+01
n_batch:10770,phase:    train,avg_loss:7.730e-02, avg_error_rate:2.991e+01
n_batch:10775,phase:    train,avg_loss:7.731e-02, avg_error_rate:2.991e+01
n_batch:10780,phase:    train,avg_loss:7.731e-02, avg_error_rate:2.991e+01
n_batch:10785,phase:    train,avg_loss:7.730e-02, avg_error_rate:2.991e+01
n_batch:10790,phase:    train,avg_loss:7.730e-02, avg_error_rate:2.990e+01
n_batch:10795,phase:    train,avg_loss:7.729e-02, avg_error_rate:2.990e+01
n_batch:10800,phase:    train,avg_loss:7.729e-02, avg_error_rate:2.990e+01
n_batch:10805,phase:    train,avg_loss:7.730e-02, avg_error_rate:2.991e+01
n_batch:10810,phase:    train,avg_loss:7.730e-02, avg_error_rate:2.991e+01
n_batch:10815,phase:    train,avg_loss:7.731e-02, avg_error_rate:2.991e+01
n_batch:10820,phase:    train,avg_loss:7.732e-02, avg_error_rate:2.991e+01
n_batch:10825,phase:    train,avg_loss:7.732e-02, avg_error_rate:2.991e+01
n_batch:10830,phase:    train,avg_loss:7.732e-02, avg_error_rate:2.991e+01
n_batch:10835,phase:    train,avg_loss:7.732e-02, avg_error_rate:2.991e+01
n_batch:10840,phase:    train,avg_loss:7.732e-02, avg_error_rate:2.992e+01
n_batch:10845,phase:    train,avg_loss:7.732e-02, avg_error_rate:2.992e+01
n_batch:10850,phase:    train,avg_loss:7.732e-02, avg_error_rate:2.992e+01
n_batch:10855,phase:    train,avg_loss:7.732e-02, avg_error_rate:2.991e+01
n_batch:10860,phase:    train,avg_loss:7.732e-02, avg_error_rate:2.992e+01
n_batch:10865,phase:    train,avg_loss:7.733e-02, avg_error_rate:2.992e+01
n_batch:10870,phase:    train,avg_loss:7.733e-02, avg_error_rate:2.992e+01
n_batch:10875,phase:    train,avg_loss:7.732e-02, avg_error_rate:2.992e+01
n_batch:10880,phase:    train,avg_loss:7.732e-02, avg_error_rate:2.992e+01
n_batch:10885,phase:    train,avg_loss:7.733e-02, avg_error_rate:2.992e+01
n_batch:10890,phase:    train,avg_loss:7.733e-02, avg_error_rate:2.992e+01
n_batch:10895,phase:    train,avg_loss:7.733e-02, avg_error_rate:2.992e+01
n_batch:10900,phase:    train,avg_loss:7.732e-02, avg_error_rate:2.992e+01
n_batch:10905,phase:    train,avg_loss:7.732e-02, avg_error_rate:2.992e+01
n_batch:10910,phase:    train,avg_loss:7.733e-02, avg_error_rate:2.992e+01
n_batch:10915,phase:    train,avg_loss:7.733e-02, avg_error_rate:2.992e+01
n_batch:10920,phase:    train,avg_loss:7.733e-02, avg_error_rate:2.992e+01
n_batch:10925,phase:    train,avg_loss:7.734e-02, avg_error_rate:2.992e+01
n_batch:10930,phase:    train,avg_loss:7.734e-02, avg_error_rate:2.992e+01
n_batch:10935,phase:    train,avg_loss:7.734e-02, avg_error_rate:2.992e+01
n_batch:10940,phase:    train,avg_loss:7.733e-02, avg_error_rate:2.992e+01
n_batch:10945,phase:    train,avg_loss:7.733e-02, avg_error_rate:2.992e+01
n_batch:10950,phase:    train,avg_loss:7.732e-02, avg_error_rate:2.992e+01
n_batch:10955,phase:    train,avg_loss:7.733e-02, avg_error_rate:2.992e+01
n_batch:10960,phase:    train,avg_loss:7.733e-02, avg_error_rate:2.992e+01
n_batch:10965,phase:    train,avg_loss:7.733e-02, avg_error_rate:2.992e+01
n_batch:10970,phase:    train,avg_loss:7.733e-02, avg_error_rate:2.992e+01
n_batch:10975,phase:    train,avg_loss:7.734e-02, avg_error_rate:2.992e+01
n_batch:10980,phase:    train,avg_loss:7.734e-02, avg_error_rate:2.992e+01
n_batch:10985,phase:    train,avg_loss:7.734e-02, avg_error_rate:2.992e+01
n_batch:10990,phase:    train,avg_loss:7.734e-02, avg_error_rate:2.992e+01
n_batch:10995,phase:    train,avg_loss:7.734e-02, avg_error_rate:2.992e+01
n_batch:11000,phase:    train,avg_loss:7.733e-02, avg_error_rate:2.992e+01
n_batch:11005,phase:    train,avg_loss:7.733e-02, avg_error_rate:2.992e+01
n_batch:11010,phase:    train,avg_loss:7.733e-02, avg_error_rate:2.992e+01
n_batch:11015,phase:    train,avg_loss:7.733e-02, avg_error_rate:2.992e+01
n_batch:11020,phase:    train,avg_loss:7.733e-02, avg_error_rate:2.992e+01
n_batch:11025,phase:    train,avg_loss:7.733e-02, avg_error_rate:2.992e+01
n_batch:11030,phase:    train,avg_loss:7.733e-02, avg_error_rate:2.992e+01
n_batch:11035,phase:    train,avg_loss:7.734e-02, avg_error_rate:2.992e+01
n_batch:11040,phase:    train,avg_loss:7.734e-02, avg_error_rate:2.992e+01
n_batch:11045,phase:    train,avg_loss:7.735e-02, avg_error_rate:2.992e+01
n_batch:11050,phase:    train,avg_loss:7.735e-02, avg_error_rate:2.992e+01
n_batch:11055,phase:    train,avg_loss:7.735e-02, avg_error_rate:2.992e+01
n_batch:11060,phase:    train,avg_loss:7.735e-02, avg_error_rate:2.992e+01
n_batch:11065,phase:    train,avg_loss:7.735e-02, avg_error_rate:2.992e+01
n_batch:11070,phase:    train,avg_loss:7.735e-02, avg_error_rate:2.992e+01
n_batch:11075,phase:    train,avg_loss:7.736e-02, avg_error_rate:2.992e+01
n_batch:11080,phase:    train,avg_loss:7.735e-02, avg_error_rate:2.992e+01
n_batch:11085,phase:    train,avg_loss:7.736e-02, avg_error_rate:2.992e+01
n_batch:11090,phase:    train,avg_loss:7.735e-02, avg_error_rate:2.992e+01
n_batch:11095,phase:    train,avg_loss:7.735e-02, avg_error_rate:2.992e+01
n_batch:11100,phase:    train,avg_loss:7.735e-02, avg_error_rate:2.992e+01
n_batch:11105,phase:    train,avg_loss:7.735e-02, avg_error_rate:2.992e+01
n_batch:11110,phase:    train,avg_loss:7.735e-02, avg_error_rate:2.991e+01
n_batch:11115,phase:    train,avg_loss:7.734e-02, avg_error_rate:2.991e+01
n_batch:11120,phase:    train,avg_loss:7.735e-02, avg_error_rate:2.991e+01
n_batch:11125,phase:    train,avg_loss:7.736e-02, avg_error_rate:2.991e+01
n_batch:11130,phase:    train,avg_loss:7.736e-02, avg_error_rate:2.992e+01
n_batch:11135,phase:    train,avg_loss:7.737e-02, avg_error_rate:2.992e+01
n_batch:11140,phase:    train,avg_loss:7.737e-02, avg_error_rate:2.992e+01
n_batch:11145,phase:    train,avg_loss:7.737e-02, avg_error_rate:2.992e+01
n_batch:11150,phase:    train,avg_loss:7.738e-02, avg_error_rate:2.992e+01
n_batch:11155,phase:    train,avg_loss:7.738e-02, avg_error_rate:2.992e+01
n_batch:11160,phase:    train,avg_loss:7.739e-02, avg_error_rate:2.992e+01
n_batch:11165,phase:    train,avg_loss:7.738e-02, avg_error_rate:2.992e+01
n_batch:11170,phase:    train,avg_loss:7.739e-02, avg_error_rate:2.992e+01
n_batch:11175,phase:    train,avg_loss:7.739e-02, avg_error_rate:2.992e+01
n_batch:11180,phase:    train,avg_loss:7.739e-02, avg_error_rate:2.992e+01
n_batch:11185,phase:    train,avg_loss:7.739e-02, avg_error_rate:2.992e+01
n_batch:11190,phase:    train,avg_loss:7.739e-02, avg_error_rate:2.992e+01
n_batch:11195,phase:    train,avg_loss:7.739e-02, avg_error_rate:2.992e+01
n_batch:11200,phase:    train,avg_loss:7.740e-02, avg_error_rate:2.992e+01
n_batch:11205,phase:    train,avg_loss:7.740e-02, avg_error_rate:2.992e+01
n_batch:11210,phase:    train,avg_loss:7.740e-02, avg_error_rate:2.992e+01
n_batch:11215,phase:    train,avg_loss:7.740e-02, avg_error_rate:2.992e+01
n_batch:11220,phase:    train,avg_loss:7.740e-02, avg_error_rate:2.993e+01
n_batch:11225,phase:    train,avg_loss:7.740e-02, avg_error_rate:2.992e+01
n_batch:11230,phase:    train,avg_loss:7.740e-02, avg_error_rate:2.992e+01
n_batch:11235,phase:    train,avg_loss:7.740e-02, avg_error_rate:2.992e+01
n_batch:11240,phase:    train,avg_loss:7.740e-02, avg_error_rate:2.992e+01
n_batch:11245,phase:    train,avg_loss:7.740e-02, avg_error_rate:2.992e+01
n_batch:11250,phase:    train,avg_loss:7.739e-02, avg_error_rate:2.992e+01
n_batch:11255,phase:    train,avg_loss:7.739e-02, avg_error_rate:2.992e+01
n_batch:11260,phase:    train,avg_loss:7.740e-02, avg_error_rate:2.992e+01
n_batch:11265,phase:    train,avg_loss:7.740e-02, avg_error_rate:2.992e+01
n_batch:11270,phase:    train,avg_loss:7.740e-02, avg_error_rate:2.992e+01
n_batch:11275,phase:    train,avg_loss:7.740e-02, avg_error_rate:2.992e+01
n_batch:11280,phase:    train,avg_loss:7.740e-02, avg_error_rate:2.992e+01
n_batch:11285,phase:    train,avg_loss:7.741e-02, avg_error_rate:2.993e+01
n_batch:11290,phase:    train,avg_loss:7.741e-02, avg_error_rate:2.993e+01
n_batch:11295,phase:    train,avg_loss:7.741e-02, avg_error_rate:2.993e+01
n_batch:11300,phase:    train,avg_loss:7.740e-02, avg_error_rate:2.993e+01
n_batch:11305,phase:    train,avg_loss:7.740e-02, avg_error_rate:2.993e+01
n_batch:11310,phase:    train,avg_loss:7.740e-02, avg_error_rate:2.993e+01
n_batch:11315,phase:    train,avg_loss:7.740e-02, avg_error_rate:2.993e+01
n_batch:11320,phase:    train,avg_loss:7.740e-02, avg_error_rate:2.992e+01
n_batch:11325,phase:    train,avg_loss:7.740e-02, avg_error_rate:2.993e+01
n_batch:11330,phase:    train,avg_loss:7.740e-02, avg_error_rate:2.993e+01
n_batch:11335,phase:    train,avg_loss:7.740e-02, avg_error_rate:2.992e+01
n_batch:11340,phase:    train,avg_loss:7.739e-02, avg_error_rate:2.992e+01
n_batch:11345,phase:    train,avg_loss:7.739e-02, avg_error_rate:2.992e+01
n_batch:11350,phase:    train,avg_loss:7.739e-02, avg_error_rate:2.992e+01
n_batch:11355,phase:    train,avg_loss:7.740e-02, avg_error_rate:2.993e+01
n_batch:11360,phase:    train,avg_loss:7.741e-02, avg_error_rate:2.993e+01
n_batch:11365,phase:    train,avg_loss:7.741e-02, avg_error_rate:2.993e+01
n_batch:11370,phase:    train,avg_loss:7.740e-02, avg_error_rate:2.993e+01
n_batch:11375,phase:    train,avg_loss:7.740e-02, avg_error_rate:2.993e+01
n_batch:11380,phase:    train,avg_loss:7.741e-02, avg_error_rate:2.993e+01
n_batch:11385,phase:    train,avg_loss:7.741e-02, avg_error_rate:2.993e+01
n_batch:11390,phase:    train,avg_loss:7.742e-02, avg_error_rate:2.993e+01
n_batch:11395,phase:    train,avg_loss:7.742e-02, avg_error_rate:2.993e+01
n_batch:11400,phase:    train,avg_loss:7.742e-02, avg_error_rate:2.993e+01
n_batch:11405,phase:    train,avg_loss:7.742e-02, avg_error_rate:2.993e+01
n_batch:11410,phase:    train,avg_loss:7.743e-02, avg_error_rate:2.994e+01
n_batch:11415,phase:    train,avg_loss:7.743e-02, avg_error_rate:2.994e+01
n_batch:11420,phase:    train,avg_loss:7.744e-02, avg_error_rate:2.994e+01
n_batch:11425,phase:    train,avg_loss:7.744e-02, avg_error_rate:2.994e+01
n_batch:11430,phase:    train,avg_loss:7.744e-02, avg_error_rate:2.994e+01
n_batch:11435,phase:    train,avg_loss:7.745e-02, avg_error_rate:2.994e+01
n_batch:11440,phase:    train,avg_loss:7.744e-02, avg_error_rate:2.994e+01
n_batch:11445,phase:    train,avg_loss:7.744e-02, avg_error_rate:2.994e+01
n_batch:11450,phase:    train,avg_loss:7.744e-02, avg_error_rate:2.994e+01
n_batch:11455,phase:    train,avg_loss:7.746e-02, avg_error_rate:2.994e+01
n_batch:11460,phase:    train,avg_loss:7.745e-02, avg_error_rate:2.994e+01
n_batch:11465,phase:    train,avg_loss:7.745e-02, avg_error_rate:2.994e+01
n_batch:11470,phase:    train,avg_loss:7.746e-02, avg_error_rate:2.994e+01
n_batch:11475,phase:    train,avg_loss:7.746e-02, avg_error_rate:2.994e+01
n_batch:11480,phase:    train,avg_loss:7.746e-02, avg_error_rate:2.994e+01
n_batch:11485,phase:    train,avg_loss:7.745e-02, avg_error_rate:2.994e+01
n_batch:11490,phase:    train,avg_loss:7.746e-02, avg_error_rate:2.994e+01
n_batch:11495,phase:    train,avg_loss:7.745e-02, avg_error_rate:2.994e+01
n_batch:11500,phase:    train,avg_loss:7.746e-02, avg_error_rate:2.994e+01
n_batch:11505,phase:    train,avg_loss:7.746e-02, avg_error_rate:2.994e+01
n_batch:11510,phase:    train,avg_loss:7.746e-02, avg_error_rate:2.994e+01
n_batch:11515,phase:    train,avg_loss:7.747e-02, avg_error_rate:2.994e+01
n_batch:11520,phase:    train,avg_loss:7.747e-02, avg_error_rate:2.994e+01
n_batch:11525,phase:    train,avg_loss:7.747e-02, avg_error_rate:2.994e+01
n_batch:11530,phase:    train,avg_loss:7.747e-02, avg_error_rate:2.994e+01
n_batch:11535,phase:    train,avg_loss:7.748e-02, avg_error_rate:2.994e+01
n_batch:11540,phase:    train,avg_loss:7.748e-02, avg_error_rate:2.994e+01
n_batch:11545,phase:    train,avg_loss:7.749e-02, avg_error_rate:2.994e+01
n_batch:11550,phase:    train,avg_loss:7.749e-02, avg_error_rate:2.995e+01
n_batch:11555,phase:    train,avg_loss:7.749e-02, avg_error_rate:2.994e+01
n_batch:11560,phase:    train,avg_loss:7.749e-02, avg_error_rate:2.995e+01
n_batch:11565,phase:    train,avg_loss:7.750e-02, avg_error_rate:2.995e+01
n_batch:11570,phase:    train,avg_loss:7.750e-02, avg_error_rate:2.995e+01
n_batch:11575,phase:    train,avg_loss:7.750e-02, avg_error_rate:2.995e+01
n_batch:11580,phase:    train,avg_loss:7.750e-02, avg_error_rate:2.995e+01
n_batch:11585,phase:    train,avg_loss:7.750e-02, avg_error_rate:2.995e+01
n_batch:11590,phase:    train,avg_loss:7.750e-02, avg_error_rate:2.995e+01
n_batch:11595,phase:    train,avg_loss:7.751e-02, avg_error_rate:2.995e+01
n_batch:11600,phase:    train,avg_loss:7.751e-02, avg_error_rate:2.995e+01
n_batch:11605,phase:    train,avg_loss:7.751e-02, avg_error_rate:2.995e+01
n_batch:11610,phase:    train,avg_loss:7.752e-02, avg_error_rate:2.995e+01
n_batch:11615,phase:    train,avg_loss:7.752e-02, avg_error_rate:2.996e+01
n_batch:11620,phase:    train,avg_loss:7.752e-02, avg_error_rate:2.996e+01
n_batch:11625,phase:    train,avg_loss:7.753e-02, avg_error_rate:2.996e+01
n_batch:11630,phase:    train,avg_loss:7.753e-02, avg_error_rate:2.996e+01
n_batch:11635,phase:    train,avg_loss:7.754e-02, avg_error_rate:2.996e+01
n_batch:11640,phase:    train,avg_loss:7.754e-02, avg_error_rate:2.996e+01
n_batch:11645,phase:    train,avg_loss:7.755e-02, avg_error_rate:2.996e+01
n_batch:11650,phase:    train,avg_loss:7.755e-02, avg_error_rate:2.996e+01
n_batch:11655,phase:    train,avg_loss:7.755e-02, avg_error_rate:2.997e+01
n_batch:11660,phase:    train,avg_loss:7.755e-02, avg_error_rate:2.996e+01
n_batch:11665,phase:    train,avg_loss:7.755e-02, avg_error_rate:2.996e+01
n_batch:11670,phase:    train,avg_loss:7.755e-02, avg_error_rate:2.996e+01
n_batch:11675,phase:    train,avg_loss:7.756e-02, avg_error_rate:2.997e+01
n_batch:11680,phase:    train,avg_loss:7.756e-02, avg_error_rate:2.997e+01
n_batch:11685,phase:    train,avg_loss:7.756e-02, avg_error_rate:2.997e+01
n_batch:11690,phase:    train,avg_loss:7.756e-02, avg_error_rate:2.997e+01
n_batch:11695,phase:    train,avg_loss:7.756e-02, avg_error_rate:2.997e+01
n_batch:11700,phase:    train,avg_loss:7.756e-02, avg_error_rate:2.997e+01
n_batch:11705,phase:    train,avg_loss:7.756e-02, avg_error_rate:2.997e+01
n_batch:11710,phase:    train,avg_loss:7.756e-02, avg_error_rate:2.997e+01
n_batch:11715,phase:    train,avg_loss:7.756e-02, avg_error_rate:2.997e+01
n_batch:11720,phase:    train,avg_loss:7.756e-02, avg_error_rate:2.997e+01
n_batch:11725,phase:    train,avg_loss:7.757e-02, avg_error_rate:2.997e+01
n_batch:11730,phase:    train,avg_loss:7.757e-02, avg_error_rate:2.997e+01
n_batch:11735,phase:    train,avg_loss:7.757e-02, avg_error_rate:2.998e+01
n_batch:11740,phase:    train,avg_loss:7.757e-02, avg_error_rate:2.998e+01
n_batch:11745,phase:    train,avg_loss:7.758e-02, avg_error_rate:2.998e+01
n_batch:11750,phase:    train,avg_loss:7.758e-02, avg_error_rate:2.998e+01
n_batch:11755,phase:    train,avg_loss:7.758e-02, avg_error_rate:2.998e+01
n_batch:11760,phase:    train,avg_loss:7.758e-02, avg_error_rate:2.998e+01
n_batch:11765,phase:    train,avg_loss:7.758e-02, avg_error_rate:2.998e+01
n_batch:11770,phase:    train,avg_loss:7.758e-02, avg_error_rate:2.998e+01
n_batch:11775,phase:    train,avg_loss:7.758e-02, avg_error_rate:2.998e+01
n_batch:11780,phase:    train,avg_loss:7.759e-02, avg_error_rate:2.998e+01
n_batch:11785,phase:    train,avg_loss:7.759e-02, avg_error_rate:2.998e+01
n_batch:11790,phase:    train,avg_loss:7.759e-02, avg_error_rate:2.998e+01
n_batch:11795,phase:    train,avg_loss:7.759e-02, avg_error_rate:2.998e+01
n_batch:11800,phase:    train,avg_loss:7.759e-02, avg_error_rate:2.998e+01
n_batch:11805,phase:    train,avg_loss:7.759e-02, avg_error_rate:2.998e+01
n_batch:11810,phase:    train,avg_loss:7.759e-02, avg_error_rate:2.999e+01
n_batch:11815,phase:    train,avg_loss:7.759e-02, avg_error_rate:2.998e+01
n_batch:11820,phase:    train,avg_loss:7.760e-02, avg_error_rate:2.999e+01
n_batch:11825,phase:    train,avg_loss:7.760e-02, avg_error_rate:2.999e+01
n_batch:11830,phase:    train,avg_loss:7.759e-02, avg_error_rate:2.999e+01
n_batch:11835,phase:    train,avg_loss:7.760e-02, avg_error_rate:2.999e+01
n_batch:11840,phase:    train,avg_loss:7.760e-02, avg_error_rate:2.999e+01
n_batch:11845,phase:    train,avg_loss:7.760e-02, avg_error_rate:2.999e+01
n_batch:11850,phase:    train,avg_loss:7.760e-02, avg_error_rate:2.999e+01
n_batch:11855,phase:    train,avg_loss:7.760e-02, avg_error_rate:2.999e+01
n_batch:11860,phase:    train,avg_loss:7.760e-02, avg_error_rate:2.999e+01
n_batch:11865,phase:    train,avg_loss:7.760e-02, avg_error_rate:2.999e+01
n_batch:11870,phase:    train,avg_loss:7.760e-02, avg_error_rate:2.999e+01
n_batch:11875,phase:    train,avg_loss:7.760e-02, avg_error_rate:2.999e+01
n_batch:11880,phase:    train,avg_loss:7.760e-02, avg_error_rate:2.999e+01
n_batch:11885,phase:    train,avg_loss:7.760e-02, avg_error_rate:2.999e+01
n_batch:11890,phase:    train,avg_loss:7.759e-02, avg_error_rate:2.999e+01
n_batch:11895,phase:    train,avg_loss:7.759e-02, avg_error_rate:2.999e+01
n_batch:11900,phase:    train,avg_loss:7.760e-02, avg_error_rate:2.999e+01
n_batch:11905,phase:    train,avg_loss:7.759e-02, avg_error_rate:2.999e+01
n_batch:11910,phase:    train,avg_loss:7.760e-02, avg_error_rate:2.999e+01
n_batch:11915,phase:    train,avg_loss:7.761e-02, avg_error_rate:2.999e+01
n_batch:11920,phase:    train,avg_loss:7.761e-02, avg_error_rate:2.999e+01
n_batch:11925,phase:    train,avg_loss:7.761e-02, avg_error_rate:2.999e+01
n_batch:11930,phase:    train,avg_loss:7.762e-02, avg_error_rate:2.999e+01
n_batch:11935,phase:    train,avg_loss:7.762e-02, avg_error_rate:3.000e+01
n_batch:11940,phase:    train,avg_loss:7.762e-02, avg_error_rate:3.000e+01
n_batch:11945,phase:    train,avg_loss:7.762e-02, avg_error_rate:3.000e+01
n_batch:11950,phase:    train,avg_loss:7.762e-02, avg_error_rate:3.000e+01
n_batch:11955,phase:    train,avg_loss:7.761e-02, avg_error_rate:3.000e+01
n_batch:11960,phase:    train,avg_loss:7.761e-02, avg_error_rate:3.000e+01
n_batch:11965,phase:    train,avg_loss:7.761e-02, avg_error_rate:3.000e+01
n_batch:11970,phase:    train,avg_loss:7.761e-02, avg_error_rate:2.999e+01
n_batch:11975,phase:    train,avg_loss:7.761e-02, avg_error_rate:3.000e+01
n_batch:11980,phase:    train,avg_loss:7.761e-02, avg_error_rate:3.000e+01
n_batch:11985,phase:    train,avg_loss:7.761e-02, avg_error_rate:2.999e+01
n_batch:11990,phase:    train,avg_loss:7.761e-02, avg_error_rate:2.999e+01
n_batch:11995,phase:    train,avg_loss:7.761e-02, avg_error_rate:2.999e+01
n_batch:12000,phase:    train,avg_loss:7.761e-02, avg_error_rate:2.999e+01
n_batch:12005,phase:    train,avg_loss:7.761e-02, avg_error_rate:2.999e+01
n_batch:12010,phase:    train,avg_loss:7.761e-02, avg_error_rate:2.999e+01
